task_id,dataset_id,dataset,seed,model,n_train,n_val,n_test,accuracy,macro_f1,brier,ece,search_time_sec,fit_time_sec,inference_time_sec,selected_config_index,selected_params_json
9946,1510,wdbc,23,HistGradientBoosting,341,114,114,0.9649122807017544,0.9623015873015872,0.05413554927028627,0.03328359286593125,4.619314583018422,0.48296466702595353,0.006070542032830417,8,"{""learning_rate"": 0.1, ""max_depth"": null, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}"
9946,1510,wdbc,23,MLP,341,114,114,0.9649122807017544,0.9623015873015872,0.05275796180083658,0.020946297262954088,1.417232625070028,0.2438593750121072,0.0007414169376716018,7,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.0003}"
9946,1510,wdbc,31,Logistic Regression,341,114,114,0.9824561403508771,0.9809555629802873,0.04366963101645642,0.02867978336062079,0.05783479195088148,0.002861917018890381,0.0006492920219898224,5,"{""C"": 1.0, ""class_weight"": null}"
9946,1510,wdbc,31,Random Forest,341,114,114,0.9649122807017544,0.9623015873015872,0.05699863547758285,0.03950292397660825,2.1260669170878828,0.14334541698917747,0.01489783392753452,2,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
9946,1510,wdbc,31,Extra Trees,341,114,114,0.9736842105263158,0.9718634306869601,0.059182846003898636,0.030877192982456073,1.9560387920355424,0.10594812501221895,0.027890291064977646,2,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
9946,1510,wdbc,31,HistGradientBoosting,341,114,114,0.956140350877193,0.9526381387619444,0.06843293436938945,0.029771220873281507,4.855613499996252,0.38317791605368257,0.0065475000301375985,9,"{""learning_rate"": 0.1, ""max_depth"": 6, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}"
9946,1510,wdbc,31,MLP,341,114,114,0.9649122807017544,0.9623015873015872,0.044805748693593724,0.022249689715673718,1.712564666988328,0.21752841607667506,0.0007365000201389194,7,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.0003}"
9946,1510,wdbc,47,Logistic Regression,341,114,114,0.9736842105263158,0.9715828832571666,0.0526987018580916,0.03911959805700961,0.057261332985945046,0.002832207945175469,0.000660583027638495,5,"{""C"": 1.0, ""class_weight"": null}"
9946,1510,wdbc,47,Random Forest,341,114,114,0.956140350877193,0.9531057178116001,0.08507329434697856,0.02725146198830399,2.179556666058488,0.1402468750020489,0.014696500031277537,1,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}"
9946,1510,wdbc,47,Extra Trees,341,114,114,0.9649122807017544,0.9623015873015872,0.07619711275211839,0.04228355611250349,1.8460503339301795,0.1036441249307245,0.02710341603960842,6,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 300}"
9946,1510,wdbc,47,HistGradientBoosting,341,114,114,0.956140350877193,0.9531057178116001,0.08205677422364362,0.037454705226778295,4.544343332992867,0.30459424993023276,0.004201709059998393,9,"{""learning_rate"": 0.1, ""max_depth"": 6, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}"
9946,1510,wdbc,47,MLP,341,114,114,0.9649122807017544,0.9623015873015872,0.041906645527276916,0.02903808311697496,1.5807153329951689,0.1739916669903323,0.000820541987195611,3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.0003}"
11,11,balance-scale,11,Logistic Regression,375,125,125,0.928,0.8741077920025289,0.13340536447084075,0.03666376010845813,0.06926458398811519,0.0027762079844251275,0.0006238750647753477,12,"{""C"": 1000.0, ""class_weight"": ""balanced""}"
