dataset,model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,brier_mean,brier_std,ece_mean,ece_std,search_time_mean,fit_time_mean
pc3,Random Forest,0.899041533546326,0.0017499123242976536,0.5610373887041964,0.020871823368463382,0.15044495752324616,0.006452597556030735,0.0402067791977264,0.02041037654065421,2.8641262918012216,0.19797279178164895
pc4,Extra Trees,0.9136986301369863,0.008864506236674513,0.7480263276677617,0.016915632561473486,0.12174162427948562,0.0078014447063316115,0.04017826743369176,0.005155897305665614,2.159067224757746,0.12754047519993034
pc4,HistGradientBoosting,0.9102739726027398,0.0050795880048600615,0.7614218131249829,0.007360156126956465,0.1352042791391095,0.010975883716634304,0.055181852293897785,0.007280470128732602,7.184264841629192,0.6550243332283572
pc4,Logistic Regression,0.8575342465753424,0.04329178929605611,0.7224496958482552,0.013621732741520542,0.18607118116829832,0.046183204678436715,0.044424669118119,0.016722485966896634,0.1216637666104361,0.009701033378951219
pc4,MLP,0.9102739726027398,0.012204472384387315,0.7786350268247235,0.02049609454007281,0.1462457526832044,0.02270765643817245,0.06739149928260812,0.023128565222141784,7.268238200014457,0.772646916587837
pc4,Random Forest,0.9047945205479453,0.01146109625389145,0.716481728877868,0.04053113856369445,0.12385369414130243,0.009473894114015481,0.03513897408596026,0.013463946131269756,2.7874021668219937,0.19171185817103828
pendigits,Extra Trees,0.9950886766712141,0.0010857059014382387,0.9951046984351903,0.0010964768056672838,0.01989192814061028,0.0018981822032789867,0.0455085538355176,0.004527564509969399,3.1253166083944963,0.23745819181203837
pendigits,HistGradientBoosting,0.9938153706230105,0.0013101282665654483,0.9938089481440617,0.001328313068915371,0.0105110345566048,0.0015377175595004185,0.004431004598827159,0.0007095025925732904,85.1526240834035,6.383594100200571
pendigits,Logistic Regression,0.9524329240563892,0.002663310680190298,0.9520184610467792,0.0026528904339477573,0.07289716533776835,0.0014453082482883543,0.01017710447658898,0.0036680576990988692,0.7390005082124844,0.11047481663990759
pendigits,MLP,0.9943610732150978,0.0011414188629387102,0.9943510186646819,0.0011268539240182997,0.00940351313655452,0.0012873356948838576,0.0034386387055077004,0.0004810547099747914,22.940983499819414,1.761822458403185
pendigits,Random Forest,0.9924511141427921,0.001719660791376916,0.9925147260932847,0.0016958172901329828,0.027128409773812624,0.0015006121858282633,0.05513277895293391,0.0027024750786776896,5.029838358191773,0.383287258609198
phoneme,Extra Trees,0.9121184088806661,0.006030714528402089,0.893799884863148,0.007356927672439116,0.13046613158064588,0.006904639503667475,0.038558091653841595,0.006448752145888121,2.6397260082187133,0.1612349917646497
phoneme,HistGradientBoosting,0.8869565217391304,0.008206569885741696,0.8640470752504689,0.011287590950681523,0.16117861201269199,0.006617708826464099,0.02248677279875812,0.012165895648971048,9.352081874990835,0.9120614333776758
phoneme,Logistic Regression,0.7261794634597595,0.012061429056804181,0.7024939826180623,0.010577559569868588,0.35868651592150214,0.007811069820751204,0.04597863818512764,0.013072682885001944,0.07722855841275297,0.00438098362646992
phoneme,MLP,0.8808510638297872,0.01227940314970961,0.8548364135412918,0.0149344302813626,0.17291968930301682,0.016481038167541533,0.02944527531901932,0.012207521395656779,22.499039191799238,3.2284231666009875
phoneme,Random Forest,0.9073080481036078,0.006115261380587727,0.8878139633884514,0.00663607061512774,0.13905983618777346,0.005539412413908788,0.03852525107890374,0.0035750387701501698,3.6354852245887743,0.30165509998332707
qsar-biodeg,Extra Trees,0.8739336492890996,0.023601705399030747,0.8546076046973479,0.026501220024397164,0.17992375071231553,0.015561103481881645,0.05318504950314488,0.014638692812308788,2.080054575391114,0.12076301658526059
qsar-biodeg,HistGradientBoosting,0.8616113744075828,0.01785918832361774,0.8409623229319889,0.022835108554817837,0.1926274782814218,0.01945975971930609,0.06167891352898937,0.013971064735032799,5.754131141630933,0.682625983399339
qsar-biodeg,Logistic Regression,0.8748815165876778,0.014059144051366188,0.8608236022942289,0.011500511010149175,0.19964530358943539,0.02194407981382836,0.0519658771692435,0.010533582769772227,0.09673860000912096,0.005273950006812781
qsar-biodeg,MLP,0.8947867298578199,0.014760579623125542,0.8792185463553699,0.01843696541891523,0.17743576884614204,0.032735526762805646,0.07451050957638654,0.03164944884905857,5.356500474992208,0.48317105860915033
qsar-biodeg,Random Forest,0.8767772511848341,0.017413434190401693,0.8574259106264194,0.02130504082194453,0.18622638400320485,0.021601343680416024,0.05822658475507068,0.012234435354032694,2.6829378665890546,0.17491936681326475
satimage,Extra Trees,0.9253499222395023,0.003520756274547981,0.9090188659188693,0.004343845456818195,0.12414299609157001,0.006096585191491037,0.0675979285750864,0.005542067199140067,3.2511415417771787,0.22405576677992936
satimage,HistGradientBoosting,0.9261275272161742,0.007148046777157913,0.910816817441767,0.008582069695494975,0.1157525660896287,0.012156084511263507,0.04122193235349908,0.010974743780401953,58.42983385839034,6.193690375192091
satimage,Logistic Regression,0.8615863141524105,0.00911822659374696,0.8416419739373691,0.0119032466634803,0.20404120342028423,0.01083813688710476,0.026374469013110823,0.00960900203880479,0.673162458394654,0.07323321681469674
satimage,MLP,0.9157076205287714,0.007054381605002587,0.9015337498469661,0.009659226866812063,0.13884595392075477,0.01355831959811506,0.05536636022249963,0.008191314487659248,33.39881225838326,3.5583738165907564
satimage,Random Forest,0.923172628304821,0.008218368641129296,0.9059997790768536,0.011093637699961618,0.12701578041696468,0.008456571565153306,0.060753532727411116,0.007529498861466353,5.2701707249740135,0.4016393165802583
segment,Extra Trees,0.9402597402597402,0.0047421866450664835,0.9400568233995387,0.004891016039660142,0.09482575257344476,0.0100832309583482,0.045788734078756214,0.01222960790697867,2.3952345499768852,0.1395689833676442
segment,HistGradientBoosting,0.9320346320346321,0.009385057744016798,0.9317245097609114,0.009329351407941798,0.11373656935211389,0.012323625994939896,0.042624830429286845,0.012797686804769741,51.44386740000918,4.311127108428627
